id,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,time
464,0.550049,0.807861,0.158936,-1.89024,0.823171,-0.335366,1.45712E+12
465,0.540039,0.812012,0.171875,-0.457317,1.34146,0.182927,1.45712E+12
466,0.555664,0.827881,0.155762,1.37195,0.884146,-0.670732,1.45712E+12
467,0.552979,0.818848,0.167236,1.12805,0.731707,-1.67683,1.45712E+12
468,0.55127,0.8125,0.158691,0.579268,0.487805,-0.823171,1.45712E+12
469,0.549561,0.847656,0.164795,-1.28049,1.06707,-0.579268,1.45712E+12
470,0.553467,0.816162,0.164062,-0.121951,1.0061,0.304878,1.45712E+12
471,0.543945,0.797852,0.16748,0.182927,0.823171,0,1.45712E+12
472,0.55542,0.826416,0.158936,0.945122,0.548781,-1.0061,1.45712E+12
473,0.557373,0.809082,0.165283,0.426829,1.61585,-0.945122,1.45712E+12
474,0.550781,0.80835,0.157959,-0.884146,0.121951,0.121951,1.45712E+12
475,0.561523,0.807617,0.175293,1.28049,0.762195,0.823171,1.45712E+12
476,0.575195,0.828369,0.161133,1.09756,1.76829,2.10366,1.45712E+12
477,0.567627,0.800049,0.168701,-0.426829,0.548781,-0.396341,1.45712E+12
478,0.572266,0.847168,0.156494,2.92683,0.243902,2.89634,1.45712E+12
479,0.5896,0.859131,0.156006,-7.77439,4.32927,19.6951,1.45712E+12
